U.S. Public School Districts,,,,,,,,,,,
"Source: NCES CCD 2024-25 | Regular public school districts | Open status only | 13,493 districts",,,,,,,,,,,
LEA ID,District Name,State,State Abbrev,District Type,Street,City,Address State,ZIP,Website,Pre-K Offered,Operational Schools
0200050,Alaska Gateway School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,1313.5 Alaska Hwy,Tok,AK,99780,http://www.agsd.us,Yes,7
0200010,Aleutian Region School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,118 E International Airport Rd,Anchorage,AK,99518,http://www.aleutregion.org,No,2
0200007,Aleutians East Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,100 Mossberry Ln,Sand Point,AK,99661,http://www.aebsd.org,Yes,4
0200180,Anchorage School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,5530 E Northern Lights Blvd,Anchorage,AK,99504,http://www.asdk12.org,Yes,94
0200525,Annette Island School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,89A 4th Ave,Metlakatla,AK,99926,http://www.aisdk12.org,Yes,3
0200020,Bering Strait School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,225 Main St,Unalakleet,AK,99684,http://www.bssd.org,Yes,15
0200030,Bristol Bay Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,# 2 School Rd N,Naknek,AK,99633,http://www.bbbsd.net,Yes,3
0200730,Chatham School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,500 Big Dog Salmon Way,Angoon,AK,99820,http://www.chathamsd.org,Yes,4
0200800,Chugach School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,9312 Vanguard Dr Ste 100,Anchorage,AK,99507,http://chugachschooldistrict.com,Yes,4
0200070,Copper River School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,1976 Aurora Dr,Glennallen,AK,99588,http://www.crsd.us,Yes,5
0200060,Cordova City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,675 Second St,Cordova,AK,99574,http://www.cordovasd.org,Yes,3
0200090,Craig City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,100 School Rd,Craig,AK,99921,http://www.ccsd.k12.ak.us,Yes,4
0200100,Delta/Greely School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,1664 N Clearwater,Delta Junction,AK,99737,http://www.dgsd.us,Yes,5
0200770,Denali Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,1 Suntrana St,Healy,AK,99743,http://www.dbsd.org,Yes,4
0200120,Dillingham City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,565 Seward St,Dillingham,AK,99576,http://www.dlgsd.org,Yes,2
0200600,Fairbanks North Star Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,520 Fifth Ave,Fairbanks,AK,99701,http://www.k12northstar.org,Yes,33
0200130,Galena City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,299 Antoski Ave,Galena,AK,99741,http://www.galenaalaska.org,Yes,4
0200270,Haines Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,604 Haines Hwy,Haines,AK,99827,http://www.hbsd.net,Yes,3
0200300,Hoonah City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,366 Garteeni Hwy,Hoonah,AK,99829,http://www.hoonahschools.org,Yes,1
0200330,Hydaburg City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,100 Totem Pole Ln,Hydaburg,AK,99922,http://www.hydaburg.k12.ak.us,Yes,2
0200520,Iditarod Area School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,90 Chinana Ave,McGrath,AK,99627,http://www.iditarodsd.org,Yes,8
0200210,Juneau Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,1208 Glacier Ave,Juneau,AK,99801,http://www.juneauschools.org,Yes,13
0200360,Kake City School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,175 Library Place,Kake,AK,99830,http://www.kakeschools.com,Yes,1
0200005,Kashunamiut School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,985 KSD Way,Chevak,AK,99563,http://www.chevakschool.org,Yes,1
0200390,Kenai Peninsula Borough School District,ALASKA,AK,Regular public school district that is not a component of a supervisory union,148 N Binkley St,Soldotna,AK,99669,http://www.kpbsd.k12.ak.us,Yes,42
